secondary_cluster,bin,binLen,pig,X180124.01.bam,X180124.02.bam,X180124.03.bam,X180124.04.bam,X180124.05.bam,X180124.06.bam,X180124.07.bam,X180124.08.bam
,bins.1.fa,950777,Protexin,758.97254947585,337.48573288584,890.384654865442,1095.859822075,437.681569399554,603.838960724755,833.003018849846,484.40438843914
,bins.10.fa,740289,Protexin,43.5257115210411,34.1989623433551,104.577407443309,140.906830671535,91.5886284576699,105.938386630762,109.999273693112,52.5054589965541
289_5,bins.11.fa,1195723,Protexin,0.002758974117559,1.28806071923347,0.197939865774774,0.0586854423499088,0.0312760254603282,0.0111040866278227,5.75593837381233,0.00365780402118216
,bins.12.fa,766940,Protexin,118.151828518528,70.7385260801367,112.591141618119,69.6757960364566,74.707815833442,203.261370142384,54.8609042935562,59.5345552360028
,bins.13.fa,1079799,Protexin,52.5997441424747,41.7647821541787,124.403758448563,167.968362881425,104.802136240171,124.614185822547,129.505907743941,60.6991369625273
,bins.14.fa,1521925,Protexin,0.00249184765480559,0.0353676511189842,0.0445927034434811,0.423885141742661,0.0178992400957012,5.65405588503638,0.0227070955393268,0.00150989684715081
,bins.15.fa,319513,Protexin,144.132905841077,127.440514639467,74.970538077011,324.26072136032,322.068340064411,104.001303579197,97.5779642840823,67.7990363531374
,bins.16.fa,1742645,Protexin,9.19061259288036,87.2423720449087,47.2939958309352,27.3156136638845,13.8788732278232,111.779046332558,209.584639551372,337.211069773821
,bins.17.fa,820322,Protexin,88.9827087420549,52.0948757886537,84.917980511799,51.7838470994317,58.124726256275,153.633868772263,41.1408498406723,45.3120280650769
619_0,bins.18.fa,2882849,Protexin,26.1180495436632,18.2537494563538,36.1312974495022,37.8279052464767,44.5652779502846,82.1883031163269,21.1119599952686,22.4873478541193
,bins.19.fa,1464662,Protexin,623.922573287216,1063.46741949405,373.31677853457,422.642493087825,525.464257944836,483.093090933608,542.457185994448,294.123086155714
,bins.2.fa,630699,Protexin,186.627708664514,165.952398258123,95.6633255598947,417.256324880807,403.573217482507,132.382935041914,124.694980591376,86.3955329485222
,bins.20.fa,379556,Protexin,817.299157455027,1383.69308196946,484.930399540516,567.498465393776,691.623885829759,641.068175302195,709.179544143684,381.640486797732
,bins.3.fa,1352403,Protexin,6.87354039334429,64.02312559178,34.5664796180576,20.0002006055887,9.74198320581217,80.4498064974716,150.990130246679,240.254418964613
,bins.4.fa,371622,Protexin,719.485580998972,1218.35094499249,431.762489798774,486.709815075534,602.825293739337,552.885255673776,626.217552927437,339.236339199509
,bins.5.fa,411835,Protexin,767.145730362888,1299.08621379922,457.443007728823,520.859788954314,636.979610727597,591.613742807192,663.573488467469,363.831151087207
,bins.6.fa,343456,Protexin,305.195835239448,269.443175239332,158.612784441093,684.018877285591,673.46128148875,220.932294780117,207.421206573768,144.902114546259
,bins.7.fa,309006,Protexin,233.401909904662,204.490495148962,121.744816366025,521.889641608901,525.171994456418,168.480562584545,158.280286201562,111.587489013158
,bins.8.fa,251727,Protexin,146.849433858903,85.3839134284364,135.463608055552,82.9941481287268,90.7293367227195,245.695467323728,66.1626661748641,72.3817058416459
,bins.9.fa,1119888,Protexin,922.61418715443,411.976499182061,1088.40857550041,1344.3717465318,541.993490364215,745.670474123305,1021.83744858147,597.423995404898
